"Company","Salary_From","Salary_To","Salary_Raw"
"Strikt","100000.0","150000.0","от 100 000 до 150 000 ₽"
"ITK academy","75000.0","","от 75 000 ₽"
"СОГАЗ","","","Не указана"
"ITK academy","75000.0","","от 75 000 ₽"
"Группа Астра","","","Не указана"
"Gros.farm","200000.0","","от 200 000 ₽"
"Borderless360","324000.0","486000.0","от 4000 до 6000 $"
"DIGITAL SECTOR","","300000.0","до 300 000 ₽"
"Яндекс","","","Не указана"
"Онлайн-кинотеатр Иви","","","Не указана"
"X5 Tech","","","Не указана"
"Онлайн-кинотеатр Иви","","","Не указана"
"Greenway Global","250000.0","400000.0","от 250 000 до 400 000 ₽"
"РОССИ","150000.0","200000.0","от 150 000 до 200 000 ₽"
"YADRO","","","Не указана"
"Greenway Global","150000.0","160000.0","от 150 000 до 160 000 ₽"
